label,capacity,offered_rps,util,p50_ms,p95_ms,p99_ms,error_rate,n
nominal,2000,400.0,0.20,5.39,6.84,8.25,0.0000,1581
nominal,2000,800.0,0.40,5.26,6.57,7.15,0.0000,3196
nominal,2000,1200.0,0.60,5.25,6.55,7.05,0.0000,4781
nominal,2000,1600.0,0.80,5.21,6.48,7.10,0.0000,6378
nominal,2000,1800.0,0.90,5.25,6.59,7.25,0.0000,7128
nominal,2000,1900.0,0.95,5.32,6.66,7.19,0.0000,7588
nominal,2000,2000.0,1.00,19.07,30.14,32.11,0.0000,7911
nominal,2000,2100.0,1.05,125.49,229.31,238.24,0.0000,8395
nominal,2000,2200.0,1.10,189.60,360.61,382.23,0.0000,8339
nominal,2000,2500.0,1.25,524.10,988.24,1031.74,0.0000,9987
nominal,2000,3000.0,1.50,1001.83,1904.03,1981.77,0.0247,11974
nominal,2000,4000.0,2.00,1006.29,1912.23,1991.21,0.5037,15935
nominal,2000,5000.0,2.50,1206.76,1998.27,1999.88,0.6001,19669
reduced70,1400,280.0,0.20,5.61,7.60,9.50,0.0000,1120
reduced70,1400,560.0,0.40,5.48,8.10,10.11,0.0000,2235
reduced70,1400,840.0,0.60,5.38,8.00,9.89,0.0000,3355
reduced70,1400,1120.0,0.80,5.76,9.66,12.58,0.0000,4370
reduced70,1400,1260.0,0.90,5.56,8.23,9.92,0.0000,5032
reduced70,1400,1330.0,0.95,6.12,8.79,10.20,0.0000,5308
reduced70,1400,1400.0,1.00,35.95,49.74,51.79,0.0000,5549
reduced70,1400,1470.0,1.05,85.28,201.33,213.14,0.0000,5776
reduced70,1400,1540.0,1.10,216.74,416.40,431.92,0.0000,6144
reduced70,1400,1750.0,1.25,527.63,1011.86,1051.05,0.0000,6989
reduced70,1400,2100.0,1.50,995.70,1895.20,1980.83,0.0112,8269
reduced70,1400,2800.0,2.00,1033.68,1930.94,2002.03,0.4972,11163
reduced70,1400,3500.0,2.50,998.65,1902.85,1984.70,0.6672,13935
